url_path,views_total,views_unique
/hseera/python-utilities,71,7
/hseera/python-utilities/pulse,47,1
/hseera/python-utilities/graphs/traffic,37,1
/hseera/python-utilities/blob/main/TestPlan_results_001.csv,8,1
/hseera/python-utilities/blob/main/TestPlan_results_002.csv,2,1
/hseera/python-utilities/community,2,1
/hseera/python-utilities/edit/main/TestPlan_results_001.csv,2,1
/hseera/python-utilities/actions/new,1,1
/hseera/python-utilities/blame/main/TestPlan_results_001.csv,1,1
/hseera/python-utilities/blob/49e4df1094e62f83548a4dd06755079f16cdbe25/TestPlan_results_001.csv,1,1
